"","ist","country_code","district_name","year","district_population","live_births","surviving_infants","under5pop","under15pop","cba_women","pregnant_women"
"219","CA","ANG","CACULA",2019,159425,6170,5769,20364,77012,36747,6170
"220","CA","ANG","CACULA",2020,164386,6312,5940,27095,78654,38158,6312
"221","CA","ANG","CACULA",2021,169473,6457,13975,27979,80210,39655,6457
"222","CA","ANG","CACULA",2022,174693,6621,6225,28828,81685,41240,6621
"223","CA","ANG","CACULA",2023,180052,6770,6379,29639,83082,42916,6770
"224","CA","ANG","CACULA",2024,185556,6940,6540,30413,84404,82769,6940
"225","CA","ANG","CACULAMA (MUCARI)",2017,32862.11808096,1222,1144,5744,15419,7483,1222
"226","CA","ANG","CACULAMA (MUCARI)",2018,32862.11808096,1222,1144,5744,15419,7483,1222
"227","CA","ANG","CACULAMA (MUCARI)",2019,34850,1282,1203,4253,17008,7561,1282
"228","CA","ANG","CACULAMA (MUCARI)",2020,35900,1314,1240,5668,17330,7868,1314
"229","CA","ANG","CACULAMA (MUCARI)",2021,36979,1342,6498,5860,17629,8197,1342
"230","CA","ANG","CACULAMA (MUCARI)",2022,38088,1379,1303,6046,17903,8551,1379
"231","CA","ANG","CACULAMA (MUCARI)",2023,39228,1416,1337,6225,18150,8930,1416
"232","CA","ANG","CACULAMA (MUCARI)",2024,40403,1454,1374,6397,18371,18027,1454
"233","CA","ANG","CACUSO",2017,78016.34009755,2902,2715,13637,36605,17764,2902
"234","CA","ANG","CACUSO",2018,78016.34009755,2902,2715,13637,36605,17764,2902
"235","CA","ANG","CACUSO",2019,82733,3045,2855,10097,40376,17950,3045
"236","CA","ANG","CACUSO",2020,85228,3119,2944,13455,41143,18679,3119
"237","CA","ANG","CACUSO",2021,87789,3187,10372,13912,41851,19461,3187
"238","CA","ANG","CACUSO",2022,90421,3273,3092,14353,42501,20300,3273
"239","CA","ANG","CACUSO",2023,93129,3362,3174,14779,43089,21201,3362
"240","CA","ANG","CACUSO",2024,95918,3453,3262,15187,43613,42798,3453
"241","CA","ANG","CAHAMA",2017,76953.27393963,2863,2678,13451,36106,17522,2863
"242","CA","ANG","CAHAMA",2018,76953.27393963,2863,2678,13451,36106,17522,2863
"243","CA","ANG","CAHAMA",2019,81908,3178,2967,10454,38607,19493,3178
"244","CA","ANG","CAHAMA",2020,84527,3254,3057,13921,39550,20224,3254
"245","CA","ANG","CAHAMA",2021,87219,3332,8058,14384,40471,20989,3332
"246","CA","ANG","CAHAMA",2022,89986,3419,3212,14830,41364,21791,3419
"247","CA","ANG","CAHAMA",2023,92830,3500,3293,15259,42223,22636,3500
"248","CA","ANG","CAHAMA",2024,95752,3591,3377,15669,43042,42198,3591
"249","CA","ANG","CAHOMBO",2017,23476.31469313,873,817,4104,11015,5346,873
"250","CA","ANG","CAHOMBO",2018,23476.31469313,873,817,4104,11015,5346,873
"251","CA","ANG","CAHOMBO",2019,24894,916,859,3038,12149,5401,916
"252","CA","ANG","CAHOMBO",2020,25644,939,886,4049,12379,5620,939
"253","CA","ANG","CAHOMBO",2021,26414,959,959,4186,12592,5855,959
"254","CA","ANG","CAHOMBO",2022,27206,985,930,4319,12788,6108,985
"255","CA","ANG","CAHOMBO",2023,28020,1012,955,4447,12964,6379,1012
"256","CA","ANG","CAHOMBO",2024,28859,1039,981,4569,13122,12877,1039
"257","CA","ANG","CAIMBAMBO",2017,98275.96885754,3656,3420,17179,46111,22377,3656
"258","CA","ANG","CAIMBAMBO",2018,98275.96885754,3656,3420,17179,46111,22377,3656
"259","CA","ANG","CAIMBAMBO",2019,103541,3624,3394,12127,47777,24266,3624
"260","CA","ANG","CAIMBAMBO",2020,106291,3678,3471,16005,48426,25107,3678
"261","CA","ANG","CAIMBAMBO",2021,109082,3731,5839,16423,49000,26004,3731
"262","CA","ANG","CAIMBAMBO",2022,111917,3783,3575,16805,49500,26956,3783
"263","CA","ANG","CAIMBAMBO",2023,114799,3846,3634,17150,49929,27968,3846
"264","CA","ANG","CAIMBAMBO",2024,117734,3909,3696,17456,50289,49365,3909
"265","CA","ANG","CALAI",2017,35178.72804882,1309,1224,6149,16506,8010,1309
"266","CA","ANG","CALAI",2018,35178.72804882,1309,1224,6149,16506,8010,1309
"267","CA","ANG","CALAI",2019,26293,965,904,3200,12055,6155,965
"268","CA","ANG","CALAI",2020,27094,984,929,4256,12317,6386,984
"269","CA","ANG","CALAI",2021,27909,999,2984,4391,12567,6628,999
"270","CA","ANG","CALAI",2022,28740,1017,963,4512,12802,6883,1017
"271","CA","ANG","CALAI",2023,29588,1036,981,4622,13020,7150,1036
"272","CA","ANG","CALAI",2024,30451,1054,1000,4718,13220,12970,1054
"273","CA","ANG","CALANDULA",2017,87762.34907945,3265,3054,15341,41178,19983,3265
"274","CA","ANG","CALANDULA",2018,87762.34907945,3265,3054,15341,41178,19983,3265
"275","CA","ANG","CALANDULA",2019,93061,3425,3211,11358,45417,20191,3425
"276","CA","ANG","CALANDULA",2020,95864,3509,3311,15134,46277,21010,3509
"277","CA","ANG","CALANDULA",2021,98744,3584,426,15648,47074,21889,3584
"278","CA","ANG","CALANDULA",2022,101703,3682,3478,16144,47804,22833,3682
"279","CA","ANG","CALANDULA",2023,104748,3781,3570,16623,48465,23846,3781
"280","CA","ANG","CALANDULA",2024,107882,3884,3669,17082,49053,48136,3884
"281","CA","ANG","CALUQUEMBE",2017,197068.42476173,7331,6858,34448,92465,44872,7331
"282","CA","ANG","CALUQUEMBE",2018,197068.42476173,7331,6858,34448,92465,44872,7331
"283","CA","ANG","CALUQUEMBE",2019,209438,8105,7579,26753,101172,48275,8105
"284","CA","ANG","CALUQUEMBE",2020,215960,8293,7803,35596,103331,50130,8293
"285","CA","ANG","CALUQUEMBE",2021,222647,8483,7050,36757,105377,52097,8483
"286","CA","ANG","CALUQUEMBE",2022,229509,8698,8178,37873,107316,54180,8698
"287","CA","ANG","CALUQUEMBE",2023,236553,8894,8380,38940,109153,56383,8894
"288","CA","ANG","CALUQUEMBE",2024,243788,9118,8593,39957,110892,108744,9118
"289","CA","ANG","CAMACUPA",2017,170620.89446224,6347,5938,29825,80055,38850,6347
"290","CA","ANG","CAMACUPA",2018,170620.89446224,6347,5938,29825,80055,38850,6347
"291","CA","ANG","CAMACUPA",2019,181941,7096,6666,23510,91329,40932,7096
"292","CA","ANG","CAMACUPA",2020,187936,7292,6891,31409,93306,42663,7292
"293","CA","ANG","CAMACUPA",2021,194103,7492,2298,32556,95189,44509,7492
"294","CA","ANG","CAMACUPA",2022,200449,7697,7282,33673,96975,46476,7697
"295","CA","ANG","CAMACUPA",2023,206985,7928,7495,34758,98663,48572,7928
"296","CA","ANG","CAMACUPA",2024,213722,8164,7719,35809,100253,98323,8164
"297","CA","ANG","CAMANONGUE",2017,26299.73414161,978,915,4597,12340,5988,978
"298","CA","ANG","CAMANONGUE",2018,26299.73414161,978,915,4597,12340,5988,978
"299","CA","ANG","CAMANONGUE",2019,39659,1479,1384,4857,19456,8743,1479
"300","CA","ANG","CAMANONGUE",2020,40885,1517,1430,6499,19818,9118,1517
"301","CA","ANG","CAMANONGUE",2021,42145,1555,1136,6733,20154,9519,1555
"302","CA","ANG","CAMANONGUE",2022,43441,1599,1506,6959,20465,9946,1599
"303","CA","ANG","CAMANONGUE",2023,44776,1643,1548,7175,20750,10401,1643
"304","CA","ANG","CAMANONGUE",2024,46151,1689,1591,7382,21010,20612,1689
"305","CA","ANG","CAMBAMBE",2017,98716.13966978,3672,3435,17256,46318,22478,3672
"306","CA","ANG","CAMBAMBE",2018,98716.13966978,3672,3435,17256,46318,22478,3672
"307","CA","ANG","CAMBAMBE",2019,104417,4083,3796,13349,49776,22317,4083
"308","CA","ANG","CAMBAMBE",2020,107410,4157,3895,17715,50813,23098,4157
"309","CA","ANG","CAMBAMBE",2021,110467,4242,2315,18230,51789,23937,4242
"310","CA","ANG","CAMBAMBE",2022,113596,4328,4051,18721,52706,24838,4328
"311","CA","ANG","CAMBAMBE",2023,116801,4415,4138,19187,53565,25806,4415
"312","CA","ANG","CAMBAMBE",2024,120089,4515,4232,19625,54366,53308,4515
"313","CA","ANG","CAMBULO",2017,131491.02552841,4891,4576,22985,61696,29941,4891
"314","CA","ANG","CAMBULO",2018,131491.02552841,4891,4576,22985,61696,29941,4891
"315","CA","ANG","CAMBULO",2019,139417,5061,4786,17355,62997,30071,5061
"316","CA","ANG","CAMBULO",2020,143530,5138,4889,22781,64636,31056,5138
"317","CA","ANG","CAMBULO",2021,147697,5214,2566,23344,66174,32107,5214
"318","CA","ANG","CAMBULO",2022,151923,5287,5036,23863,67596,33236,5287
"319","CA","ANG","CAMBULO",2023,156214,5374,5120,24337,68890,34451,5374
"320","CA","ANG","CAMBULO",2024,160579,5476,5213,24769,70043,68739,5476
"321","CA","ANG","CAMBUNDI CATEMBO",2017,50543.68532696,1880,1759,8835,23715,11509,1880
"322","CA","ANG","CAMBUNDI CATEMBO",2018,50543.68532696,1880,1759,8835,23715,11509,1880
"323","CA","ANG","CAMBUNDI CATEMBO",2019,53600,1972,1850,6542,26158,11629,1972
"324","CA","ANG","CAMBUNDI CATEMBO",2020,55216,2021,1907,8717,26655,12101,2021
"325","CA","ANG","CAMBUNDI CATEMBO",2021,56875,2065,991,9013,27114,12608,2065
"326","CA","ANG","CAMBUNDI CATEMBO",2022,58581,2121,2003,9299,27535,13152,2121
